Depth,qc,fs,Inclination,dummy,fs/qc
4.14,21.81,0.19,0.87,1.6,0.00871160018340211
4.15,21.763,0.192,0.87,1.6,0.00882231310021596
4.16,21.76,0.193,0.88,1.6,0.00886948529411765
4.17,21.78,0.195,0.89,1.6,0.00895316804407714
4.18,21.8,0.196,0.9,1.6,0.00899082568807339
4.19,21.821,0.198,0.9,1.6,0.009073827963888
4.2,21.857,0.199,0.91,1.6,0.00910463467081484
4.21,21.921,0.201,0.92,1.6,0.00916928972218421
4.22,21.995,0.203,0.93,1.6,0.00922937031143442
4.23,22.006,0.205,0.94,1.6,0.0093156411887667
4.24,21.992,0.207,0.94,1.6,0.00941251364132412
4.25,21.942,0.209,0.95,1.6,0.00952511165800747
4.26,21.917,0.21,0.96,1.6,0.00958160332162248
4.27,21.896,0.212,0.97,1.6,0.00968213372305444
4.28,21.896,0.213,0.98,1.6,0.00972780416514432
4.29,21.867,0.214,0.99,1.6,0.00978643618237527
4.3,21.821,0.215,1,1.6,0.00985289400119151
4.31,21.771,0.215,1,1.6,0.0098755224840384
4.32,21.605,0.215,1.01,1.6,0.00995140013885675
4.33,21.495,0.216,1.02,1.6,0.0100488485694348
4.34,21.225,0.216,1.02,1.6,0.0101766784452297
4.35,21.072,0.215,1.03,1.6,0.010203113135915
4.36,20.831,0.215,1.04,1.6,0.0103211559694686
4.37,20.731,0.214,1.04,1.6,0.0103227051275867
4.38,20.525,0.214,1.05,1.6,0.0104263093788063
4.39,20.422,0.213,1.05,1.6,0.0104299285084713
4.4,20.206,0.211,1.05,1.6,0.0104424428387608
4.41,20.011,0.21,1.05,1.6,0.010494228174504
4.42,19.911,0.208,1.05,1.6,0.0104464868665562
4.43,19.808,0.206,1.04,1.6,0.0103998384491115
4.44,19.752,0.204,1.04,1.6,0.0103280680437424
4.45,19.602,0.201,1.03,1.6,0.0102540557086012
4.46,19.539,0.2,1.03,1.6,0.010235938379651
4.47,19.382,0.198,1.02,1.6,0.0102156640181612
4.48,19.297,0.197,1.02,1.6,0.0102088407524486
